name,parent,value
origin,,
Afghanistan,origin,
Albania,origin,
Algeria,origin,
Andorra,origin,
Angola,origin,
Argentina,origin,
Armenia,origin,
Aruba,origin,
Australia,origin,
Austria,origin,
Azerbaijan,origin,
Bahamas,origin,
Bahrain,origin,
Bangladesh,origin,
Belarus,origin,
Belgium,origin,
Belize,origin,
Bermuda,origin,
Bhutan,origin,
Bolivia,origin,
Bosnia and Herzegovina,origin,
Botswana,origin,
Brazil,origin,
British Virgin Islands,origin,
Brunei,origin,
Bulgaria,origin,
Burkina Faso,origin,
Burma,origin,
Cambodia,origin,
Cameroon,origin,
Canada,origin,
Cape Verde,origin,
Cayman Islands,origin,
Chad,origin,
Chile,origin,
China,origin,
Colombia,origin,
Costa Rica,origin,
Croatia,origin,
Cuba,origin,
Cyprus,origin,
Czech Republic,origin,
Czechoslovakia,origin,
Côte d'Ivoire,origin,
Denmark,origin,
Djibouti,origin,
Dominican Republic,origin,
East Germany,origin,
Ecuador,origin,
Egypt,origin,
El Salvador,origin,
Estonia,origin,
Ethiopia,origin,
Faroe Islands,origin,
Federal Republic of Yugoslavia,origin,
Fiji,origin,
Finland,origin,
France,origin,
Georgia,origin,
Germany,origin,
Ghana,origin,
Gibraltar,origin,
Greece,origin,
Greenland,origin,
Guadeloupe,origin,
Guatemala,origin,
Guinea,origin,
Guinea-Bissau,origin,
Haiti,origin,
Holy See (Vatican City State),origin,
Honduras,origin,
Hong Kong,origin,
Hungary,origin,
Iceland,origin,
India,origin,
Indonesia,origin,
Iran,origin,
Iraq,origin,
Ireland,origin,
Isle Of Man,origin,
Israel,origin,
Italy,origin,
Jamaica,origin,
Japan,origin,
Jordan,origin,
Kazakhstan,origin,
Kenya,origin,
Korea,origin,
Kosovo,origin,
Kuwait,origin,
Kyrgyzstan,origin,
Laos,origin,
Latvia,origin,
Lebanon,origin,
Lesotho,origin,
Liberia,origin,
Libya,origin,
Liechtenstein,origin,
Lithuania,origin,
Luxembourg,origin,
Macao,origin,
Malawi,origin,
Malaysia,origin,
Maldives,origin,
Mali,origin,
Malta,origin,
Martinique,origin,
Mauritania,origin,
Mexico,origin,
Moldova,origin,
Monaco,origin,
Mongolia,origin,
Montenegro,origin,
Morocco,origin,
Mozambique,origin,
Myanmar,origin,
Namibia,origin,
Nepal,origin,
Netherlands,origin,
Netherlands Antilles,origin,
New Caledonia,origin,
New Zealand,origin,
Nicaragua,origin,
Niger,origin,
Nigeria,origin,
North Korea,origin,
North Vietnam,origin,
Norway,origin,
Oman,origin,
Pakistan,origin,
Palestine,origin,
Panama,origin,
Papua New Guinea,origin,
Paraguay,origin,
Peru,origin,
Philippines,origin,
Poland,origin,
Portugal,origin,
Puerto Rico,origin,
Qatar,origin,
Republic of Macedonia,origin,
Reunion,origin,
Romania,origin,
Russia,origin,
Rwanda,origin,
Samoa,origin,
Saudi Arabia,origin,
Senegal,origin,
Serbia,origin,
Serbia and Montenegro,origin,
Singapore,origin,
Slovakia,origin,
Slovenia,origin,
Somalia,origin,
South Africa,origin,
South Korea,origin,
Spain,origin,
Sri Lanka,origin,
Sudan,origin,
Suriname,origin,
Svalbard And Jan Mayen,origin,
Swaziland,origin,
Sweden,origin,
Switzerland,origin,
Syria,origin,
Taiwan,origin,
Tajikistan,origin,
Tanzania,origin,
Thailand,origin,
The Democratic Republic Of Congo,origin,
Trinidad and Tobago,origin,
Tunisia,origin,
Turkey,origin,
Uganda,origin,
Ukraine,origin,
United Arab Emirates,origin,
United Kingdom,origin,
United States of America,origin,
Uruguay,origin,
Uzbekistan,origin,
Vanuatu,origin,
Venezuela,origin,
Vietnam,origin,
Yemen,origin,
Yugoslavia,origin,
Zaire,origin,
Zambia,origin,
Zimbabwe,origin,
Adventure,Afghanistan,5
Biography,Afghanistan,5
Drama,Afghanistan,38
History,Afghanistan,3
Romance,Afghanistan,4
War,Afghanistan,7
Action,Albania,3
Comedy,Albania,25
Crime,Albania,2
Drama,Albania,83
Family,Albania,5
History,Albania,4
Horror,Albania,2
Romance,Albania,12
Thriller,Albania,6
War,Albania,9
Action,Algeria,3
Adventure,Algeria,2
Biography,Algeria,6
Comedy,Algeria,16
Crime,Algeria,9
Drama,Algeria,95
Fantasy,Algeria,2
History,Algeria,13
Musical,Algeria,3
Mystery,Algeria,3
Romance,Algeria,2
Thriller,Algeria,2
War,Algeria,18
Comedy,Andorra,2
Drama,Andorra,2
Horror,Andorra,3
Thriller,Andorra,2
Comedy,Angola,12
Crime,Angola,6
Drama,Angola,10
Fantasy,Angola,3
Horror,Angola,3
War,Angola,3
Action,Argentina,86
Adventure,Argentina,137
Animation,Argentina,49
Biography,Argentina,60
Comedy,Argentina,463
Crime,Argentina,191
Drama,Argentina,1245
Family,Argentina,40
Fantasy,Argentina,45
History,Argentina,31
Horror,Argentina,82
Music,Argentina,36
Musical,Argentina,37
Mystery,Argentina,94
Romance,Argentina,232
Sci-Fi,Argentina,30
Sport,Argentina,8
Thriller,Argentina,208
War,Argentina,24
Western,Argentina,25
Action,Armenia,5
Adventure,Armenia,5
Animation,Armenia,1
Comedy,Armenia,19
Crime,Armenia,6
Drama,Armenia,27
Family,Armenia,3
History,Armenia,1
Musical,Armenia,1
Romance,Armenia,9
Thriller,Armenia,3
War,Armenia,1
Action,Aruba,14
Adventure,Aruba,4
Comedy,Aruba,2
Crime,Aruba,10
Drama,Aruba,2
Sci-Fi,Aruba,2
Thriller,Aruba,12
Action,Australia,317
Adventure,Australia,296
Animation,Australia,65
Biography,Australia,120
Comedy,Australia,478
Crime,Australia,173
Drama,Australia,949
Family,Australia,113
Fantasy,Australia,120
History,Australia,47
Horror,Australia,254
Music,Australia,40
Musical,Australia,21
Mystery,Australia,145
Reality-TV,Australia,1
Romance,Australia,236
Sci-Fi,Australia,131
Sport,Australia,45
Thriller,Australia,312
War,Australia,42
Western,Australia,10
Action,Austria,41
Adventure,Austria,73
