Honorary Award-Winners-Films,2,Academy Awards,1929
Oscar-Nominees-Films-Best Art Direction,2,Academy Awards,1929
Oscar-Nominees-Films-Best Cinematography,3,Academy Awards,1929
Oscar-Nominees-Films-Best Picture,4,Academy Awards,1929
Oscar-Nominees-Films-Best Writing,4,Academy Awards,1929
Oscar-Nominees-People-Best Actor in a Leading Role,2,Academy Awards,1929
Oscar-Nominees-People-Best Actress in a Leading Role,2,Academy Awards,1929
Oscar-Nominees-People-Best Director,3,Academy Awards,1929
Oscar-Nominees-People-Best Effects,2,Academy Awards,1929
Oscar-Nominees-People-Best Writing,1,Academy Awards,1929
Oscar-Winners-Films-Best Art Direction,2,Academy Awards,1929
Oscar-Winners-Films-Best Cinematography,1,Academy Awards,1929
Oscar-Winners-Films-Best Effects,1,Academy Awards,1929
Oscar-Winners-Films-Best Picture,2,Academy Awards,1929
Oscar-Winners-Films-Best Writing,2,Academy Awards,1929
Oscar-Winners-People-Best Actor in a Leading Role,1,Academy Awards,1929
Oscar-Winners-People-Best Actress in a Leading Role,1,Academy Awards,1929
Oscar-Winners-People-Best Director,2,Academy Awards,1929
Oscar-Winners-People-Best Writing,1,Academy Awards,1929
Oscar-Nominees-Films-Best Art Direction,9,Academy Awards,1930
Oscar-Nominees-Films-Best Cinematography,9,Academy Awards,1930
Oscar-Nominees-Films-Best Picture,8,Academy Awards,1930
Oscar-Nominees-Films-Best Sound,4,Academy Awards,1930
Oscar-Nominees-Films-Best Writing,14,Academy Awards,1930
Oscar-Nominees-People-Best Actor in a Leading Role,11,Academy Awards,1930
Oscar-Nominees-People-Best Actress in a Leading Role,11,Academy Awards,1930
Oscar-Nominees-People-Best Director,11,Academy Awards,1930
Oscar-Winners-Films-Best Art Direction,2,Academy Awards,1930
Oscar-Winners-Films-Best Cinematography,2,Academy Awards,1930
Oscar-Winners-Films-Best Picture,2,Academy Awards,1930
Oscar-Winners-Films-Best Sound,1,Academy Awards,1930
Oscar-Winners-Films-Best Writing,2,Academy Awards,1930
Oscar-Winners-People-Best Actor in a Leading Role,2,Academy Awards,1930
Oscar-Winners-People-Best Actress in a Leading Role,2,Academy Awards,1930
Oscar-Winners-People-Best Director,2,Academy Awards,1930
Oscar-Nominees-Films-Best Art Direction,4,Academy Awards,1931
Oscar-Nominees-Films-Best Cinematography,4,Academy Awards,1931
Oscar-Nominees-Films-Best Picture,4,Academy Awards,1931
Oscar-Nominees-Films-Best Writing,8,Academy Awards,1931
Oscar-Nominees-People-Best Actor in a Leading Role,4,Academy Awards,1931
Oscar-Nominees-People-Best Actress in a Leading Role,4,Academy Awards,1931
