name,parent,value
origin,,
Belgium,origin,
Canada,origin,
France,origin,
Germany,origin,
India,origin,
Italy,origin,
Japan,origin,
Spain,origin,
United Kingdom,origin,
United States of America,origin,
Action,Belgium,195
Adventure,Belgium,302
Animation,Belgium,262
Biography,Belgium,179
Comedy,Belgium,1045
Crime,Belgium,321
Drama,Belgium,2227
Family,Belgium,173
Fantasy,Belgium,173
History,Belgium,127
Horror,Belgium,145
Music,Belgium,71
Musical,Belgium,34
Mystery,Belgium,154
Romance,Belgium,471
Sci-Fi,Belgium,49
Sport,Belgium,23
Thriller,Belgium,341
War,Belgium,138
Western,Belgium,10
Action,Canada,1094
Adventure,Canada,764
Animation,Canada,290
Biography,Canada,218
Comedy,Canada,1551
Crime,Canada,818
Drama,Canada,3329
Family,Canada,333
Fantasy,Canada,418
History,Canada,140
Horror,Canada,1046
Music,Canada,88
Musical,Canada,36
Mystery,Canada,560
Romance,Canada,727
Sci-Fi,Canada,497
Sport,Canada,108
Thriller,Canada,1303
War,Canada,88
Western,Canada,36
Action,France,1202
Adventure,France,1446
Animation,France,527
Biography,France,804
Comedy,France,5007
Crime,France,2150
Documentary,France,2
Drama,France,12038
Family,France,404
Fantasy,France,773
Film-Noir,France,3
History,France,840
Horror,France,725
Music,France,371
Musical,France,184
Mystery,France,963
Romance,France,2745
Sci-Fi,France,377
Sport,France,81
Thriller,France,1706
War,France,646
Western,France,160
Action,Germany,1141
Adventure,Germany,1170
Animation,Germany,366
Biography,Germany,620
Comedy,Germany,2794
Crime,Germany,1395
Drama,Germany,7255
Family,Germany,510
Fantasy,Germany,595
History,Germany,513
Horror,Germany,714
Music,Germany,271
Musical,Germany,126
Mystery,Germany,727
Romance,Germany,1623
Sci-Fi,Germany,370
Sport,Germany,95
Thriller,Germany,1288
War,Germany,487
Western,Germany,177
Action,India,1950
Adventure,India,337
Animation,India,112
Biography,India,130
Comedy,India,2015
Crime,India,778
Drama,India,3956
Family,India,399
Fantasy,India,157
History,India,134
Horror,India,201
Music,India,44
Musical,India,392
Mystery,India,340
Romance,India,1589
Sci-Fi,India,69
Sport,India,68
Thriller,India,1001
War,India,40
Western,India,1
Action,Italy,917
Adult,Italy,1
Adventure,Italy,1020
Animation,Italy,93
Biography,Italy,364
Comedy,Italy,2759
Crime,Italy,1223
Drama,Italy,4913
Family,Italy,129
Fantasy,Italy,411
Film-Noir,Italy,1
History,Italy,507
Horror,Italy,692
Music,Italy,112
Musical,Italy,85
Mystery,Italy,621
Romance,Italy,1141
Sci-Fi,Italy,237
Sport,Italy,34
Thriller,Italy,975
War,Italy,426
Western,Italy,443
Action,Japan,1305
Adventure,Japan,735
Animation,Japan,829
Biography,Japan,139
Comedy,Japan,926
Crime,Japan,520
Drama,Japan,2505
Family,Japan,192
Fantasy,Japan,396
Film-Noir,Japan,1
History,Japan,154
Horror,Japan,531
Music,Japan,87
Musical,Japan,28
Mystery,Japan,230
Romance,Japan,523
Sci-Fi,Japan,351
Sport,Japan,50
Thriller,Japan,354
War,Japan,87
Western,Japan,8
Action,Spain,501
Adventure,Spain,665
Animation,Spain,184
Biography,Spain,205
Comedy,Spain,1490
Crime,Spain,577
Documentary,Spain,3
Drama,Spain,2986
Family,Spain,122
Fantasy,Spain,298
Film-Noir,Spain,3
History,Spain,199
Horror,Spain,576
Music,Spain,70
Musical,Spain,57
Mystery,Spain,423
Romance,Spain,651
Sci-Fi,Spain,188
Sport,Spain,26
Thriller,Spain,801
War,Spain,129
Western,Spain,275
Action,United Kingdom,1814
Adventure,United Kingdom,1782
Animation,United Kingdom,391
Biography,United Kingdom,980
Comedy,United Kingdom,3463
Crime,United Kingdom,1849
Drama,United Kingdom,7850
Family,United Kingdom,512
Fantasy,United Kingdom,761
Film-Noir,United Kingdom,16
History,United Kingdom,639
Horror,United Kingdom,1535
Music,United Kingdom,340
Musical,United Kingdom,202
Mystery,United Kingdom,1080
Romance,United Kingdom,2073
Sci-Fi,United Kingdom,648
Sport,United Kingdom,118
Thriller,United Kingdom,2215
War,United Kingdom,540
Western,United Kingdom,100
Action,United States of America,7404
Adventure,United States of America,5267
Animation,United States of America,1170
Biography,United States of America,1530
Comedy,United States of America,13327
Crime,United States of America,6302
Drama,United States of America,20830
Family,United States of America,1991
Fantasy,United States of America,2166
Film-Noir,United States of America,658
Game-Show,United States of America,1
History,United States of America,1021
Horror,United States of America,6103
Music,United States of America,986
Musical,United States of America,1054
Mystery,United States of America,3090
News,United States of America,1
Romance,United States of America,6854
Sci-Fi,United States of America,2715
Sport,United States of America,668
Thriller,United States of America,6838
War,United States of America,1021
Western,United States of America,1312
